id,address,travel_duration_text,travel_duration_seconds,google_maps_url
2020301396,"129 Marsden Road, West Ryde NSW 2114",1 hour 16 mins,4533,https://www.google.com/maps/dir/?api=1&origin=129+Marsden+Road%2C+West+Ryde+NSW+2114&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020301501,"7 Cassandra Place, Carlingford NSW 2118",1 hour 13 mins,4354,https://www.google.com/maps/dir/?api=1&origin=7+Cassandra+Place%2C+Carlingford+NSW+2118&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020307422,"55A Boundary Road, North Epping NSW 2121",1 hour 19 mins,4759,https://www.google.com/maps/dir/?api=1&origin=55A+Boundary+Road%2C+North+Epping+NSW+2121&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020312027,"2/385C North Rocks Road, Carlingford NSW 2118",1 hour 2 mins,3722,https://www.google.com/maps/dir/?api=1&origin=2%2F385C+North+Rocks+Road%2C+Carlingford+NSW+2118&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020317887,"24 Hancott Street, Ryde NSW 2112",1 hour 0 mins,3603,https://www.google.com/maps/dir/?api=1&origin=24+Hancott+Street%2C+Ryde+NSW+2112&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020321495,"54 Lawrence Street, Peakhurst NSW 2210",1 hour 0 mins,3578,https://www.google.com/maps/dir/?api=1&origin=54+Lawrence+Street%2C+Peakhurst+NSW+2210&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020322542,"53 Watkin Street, Rockdale NSW 2216",38 mins,2307,https://www.google.com/maps/dir/?api=1&origin=53+Watkin+Street%2C+Rockdale+NSW+2216&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020323227,"68 Caledonian Street, Bexley NSW 2207",47 mins,2825,https://www.google.com/maps/dir/?api=1&origin=68+Caledonian+Street%2C+Bexley+NSW+2207&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020324145,"36 Lennox Street, Rockdale NSW 2216",47 mins,2849,https://www.google.com/maps/dir/?api=1&origin=36+Lennox+Street%2C+Rockdale+NSW+2216&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020325019,"34A Marsden Road, Ermington NSW 2115",1 hour 7 mins,4016,https://www.google.com/maps/dir/?api=1&origin=34A+Marsden+Road%2C+Ermington+NSW+2115&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020328966,"8 Henry Street, Carlton NSW 2218",43 mins,2554,https://www.google.com/maps/dir/?api=1&origin=8+Henry+Street%2C+Carlton+NSW+2218&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020332819,"31a Belgium Street, Riverwood NSW 2210",1 hour 7 mins,4031,https://www.google.com/maps/dir/?api=1&origin=31a+Belgium+Street%2C+Riverwood+NSW+2210&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020335038,"114B Juno Parade, Greenacre NSW 2190",1 hour 8 mins,4050,https://www.google.com/maps/dir/?api=1&origin=114B+Juno+Parade%2C+Greenacre+NSW+2190&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020335250,Carmen Drive Carlingford NSW 2118,52 mins,3105,https://www.google.com/maps/dir/?api=1&origin=Carmen+Drive+Carlingford+NSW+2118&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020339669,"116 Moreton Street, Lakemba NSW 2195",1 hour 4 mins,3818,https://www.google.com/maps/dir/?api=1&origin=116+Moreton+Street%2C+Lakemba+NSW+2195&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020339916,"46A Robert Street, Telopea NSW 2117",1 hour 29 mins,5324,https://www.google.com/maps/dir/?api=1&origin=46A+Robert+Street%2C+Telopea+NSW+2117&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020347471,"2 Alsace Lane, Peakhurst Heights NSW 2210",1 hour 6 mins,3989,https://www.google.com/maps/dir/?api=1&origin=2+Alsace+Lane%2C+Peakhurst+Heights+NSW+2210&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020348352,"16a Alexander Street, Dundas Valley NSW 2117",1 hour 17 mins,4613,https://www.google.com/maps/dir/?api=1&origin=16a+Alexander+Street%2C+Dundas+Valley+NSW+2117&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020351892,"3A Manning Parade, Dundas Valley NSW 2117",1 hour 25 mins,5124,https://www.google.com/maps/dir/?api=1&origin=3A+Manning+Parade%2C+Dundas+Valley+NSW+2117&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020358767,"28a Villiers St, Rockdale NSW 2216",39 mins,2351,https://www.google.com/maps/dir/?api=1&origin=28a+Villiers+St%2C+Rockdale+NSW+2216&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020360414,"131 Staples Street, Kingsgrove NSW 2208",51 mins,3053,https://www.google.com/maps/dir/?api=1&origin=131+Staples+Street%2C+Kingsgrove+NSW+2208&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020360669,"25 Chaseling Street, Greenacre NSW 2190",1 hour 22 mins,4939,https://www.google.com/maps/dir/?api=1&origin=25+Chaseling+Street%2C+Greenacre+NSW+2190&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020361074,"6 Wirreanda Close, Warrawee NSW 2074",1 hour 6 mins,3936,https://www.google.com/maps/dir/?api=1&origin=6+Wirreanda+Close%2C+Warrawee+NSW+2074&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020363209,"39A Hinkler Street, Ermington NSW 2115",1 hour 25 mins,5124,https://www.google.com/maps/dir/?api=1&origin=39A+Hinkler+Street%2C+Ermington+NSW+2115&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020371045,"129 Croydon Street, Lakemba NSW 2195",1 hour 20 mins,4799,https://www.google.com/maps/dir/?api=1&origin=129+Croydon+Street%2C+Lakemba+NSW+2195&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020371766,"5 Bradley Drive, Carlingford NSW 2118",1 hour 11 mins,4286,https://www.google.com/maps/dir/?api=1&origin=5+Bradley+Drive%2C+Carlingford+NSW+2118&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020373157,"85 Canarys Road, Roselands NSW 2196",1 hour 13 mins,4365,https://www.google.com/maps/dir/?api=1&origin=85+Canarys+Road%2C+Roselands+NSW+2196&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020373273,"105 Ludgate Street, Roselands NSW 2196",1 hour 16 mins,4581,https://www.google.com/maps/dir/?api=1&origin=105+Ludgate+Street%2C+Roselands+NSW+2196&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020376251,"100a James St, Punchbowl NSW 2196",1 hour 15 mins,4471,https://www.google.com/maps/dir/?api=1&origin=100a+James+St%2C+Punchbowl+NSW+2196&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020376823,"9 Wallace Street, Bexley NSW 2207",49 mins,2937,https://www.google.com/maps/dir/?api=1&origin=9+Wallace+Street%2C+Bexley+NSW+2207&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020378623,"83 & 83A Moffatts Drive, Dundas Valley NSW 2117",1 hour 28 mins,5276,https://www.google.com/maps/dir/?api=1&origin=83+%26+83A+Moffatts+Drive%2C+Dundas+Valley+NSW+2117&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020380262,"19 River Road, Ermington NSW 2115",1 hour 13 mins,4356,https://www.google.com/maps/dir/?api=1&origin=19+River+Road%2C+Ermington+NSW+2115&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020381065,"5A Tusmore Street, Punchbowl NSW 2196",1 hour 14 mins,4437,https://www.google.com/maps/dir/?api=1&origin=5A+Tusmore+Street%2C+Punchbowl+NSW+2196&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020381458,"197 Forest Road, Arncliffe NSW 2205",41 mins,2472,https://www.google.com/maps/dir/?api=1&origin=197+Forest+Road%2C+Arncliffe+NSW+2205&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020381993,"623A Victoria Road, Ermington NSW 2115",1 hour 6 mins,3943,https://www.google.com/maps/dir/?api=1&origin=623A+Victoria+Road%2C+Ermington+NSW+2115&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020383745,"10 Kings Place, Carlingford NSW 2118",1 hour 19 mins,4763,https://www.google.com/maps/dir/?api=1&origin=10+Kings+Place%2C+Carlingford+NSW+2118&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020385169,"8 Morrison Place, Pennant Hills NSW 2120",1 hour 19 mins,4749,https://www.google.com/maps/dir/?api=1&origin=8+Morrison+Place%2C+Pennant+Hills+NSW+2120&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020386577,"222 Rocky Point Road, Ramsgate NSW 2217",45 mins,2673,https://www.google.com/maps/dir/?api=1&origin=222+Rocky+Point+Road%2C+Ramsgate+NSW+2217&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020386768,"246 Pennant Hills Road, Carlingford NSW 2118",1 hour 18 mins,4686,https://www.google.com/maps/dir/?api=1&origin=246+Pennant+Hills+Road%2C+Carlingford+NSW+2118&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020389782,"10 George Street, Bexley NSW 2207",50 mins,3014,https://www.google.com/maps/dir/?api=1&origin=10+George+Street%2C+Bexley+NSW+2207&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020391482,"110 James Street, Punchbowl NSW 2196",1 hour 14 mins,4463,https://www.google.com/maps/dir/?api=1&origin=110+James+Street%2C+Punchbowl+NSW+2196&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020393186,"77 Hillcrest Avenue, Greenacre NSW 2190",1 hour 16 mins,4577,https://www.google.com/maps/dir/?api=1&origin=77+Hillcrest+Avenue%2C+Greenacre+NSW+2190&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020394294,"159 Greenacre Road, Greenacre NSW 2190",1 hour 22 mins,4907,https://www.google.com/maps/dir/?api=1&origin=159+Greenacre+Road%2C+Greenacre+NSW+2190&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020396388,"29A Jenkins Street, Dundas NSW 2117",1 hour 20 mins,4783,https://www.google.com/maps/dir/?api=1&origin=29A+Jenkins+Street%2C+Dundas+NSW+2117&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020396727,"1/42B Glenfarne Street, Bexley NSW 2207",58 mins,3459,https://www.google.com/maps/dir/?api=1&origin=1%2F42B+Glenfarne+Street%2C+Bexley+NSW+2207&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020398246,"37 Dunmore Street North, Bexley NSW 2207",45 mins,2675,https://www.google.com/maps/dir/?api=1&origin=37+Dunmore+Street+North%2C+Bexley+NSW+2207&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020399881,"60b Canarys Road, Roselands NSW 2196",1 hour 13 mins,4401,https://www.google.com/maps/dir/?api=1&origin=60b+Canarys+Road%2C+Roselands+NSW+2196&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020399932,"245 Kissing Point Road, Dundas NSW 2117",1 hour 25 mins,5118,https://www.google.com/maps/dir/?api=1&origin=245+Kissing+Point+Road%2C+Dundas+NSW+2117&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020400299,"68 Stoney Creek Road, Bexley NSW 2207",53 mins,3187,https://www.google.com/maps/dir/?api=1&origin=68+Stoney+Creek+Road%2C+Bexley+NSW+2207&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020401813,"183 Carlingford Road, Carlingford NSW 2118",1 hour 13 mins,4375,https://www.google.com/maps/dir/?api=1&origin=183+Carlingford+Road%2C+Carlingford+NSW+2118&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020402540,"10 Robbie Crescent, Carlingford NSW 2118",1 hour 8 mins,4057,https://www.google.com/maps/dir/?api=1&origin=10+Robbie+Crescent%2C+Carlingford+NSW+2118&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020403281,"1 Charlotte Street, Dundas Valley NSW 2117",1 hour 21 mins,4873,https://www.google.com/maps/dir/?api=1&origin=1+Charlotte+Street%2C+Dundas+Valley+NSW+2117&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020404217,"27 Neptune Street, Dundas Valley NSW 2117",1 hour 19 mins,4727,https://www.google.com/maps/dir/?api=1&origin=27+Neptune+Street%2C+Dundas+Valley+NSW+2117&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020406138,"17 Menzies Road, Marsfield NSW 2122",1 hour 0 mins,3629,https://www.google.com/maps/dir/?api=1&origin=17+Menzies+Road%2C+Marsfield+NSW+2122&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020407297,"170 BORONIA ROAD, Greenacre NSW 2190",1 hour 16 mins,4589,https://www.google.com/maps/dir/?api=1&origin=170+BORONIA+ROAD%2C+Greenacre+NSW+2190&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020408797,"15 Greenland Avenue, Peakhurst NSW 2210",1 hour 1 min,3651,https://www.google.com/maps/dir/?api=1&origin=15+Greenland+Avenue%2C+Peakhurst+NSW+2210&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
2020409440,"890A Punchbowl Road, Punchbowl NSW 2196",1 hour 11 mins,4271,https://www.google.com/maps/dir/?api=1&origin=890A+Punchbowl+Road%2C+Punchbowl+NSW+2196&destination=10+Castlereagh+St%2C+Sydney+NSW+2000&travelmode=transit
